"","TIME","GEO","PRODUCT","INDIC_NRG","Value"
"273","2000","Spain","All products","Gross inland consumption",5176626
"274","2000","Spain","Solid fuels","Imports",558787
"275","2000","Spain","Solid fuels","Exports",21204
"276","2000","Spain","Solid fuels","Gross inland consumption",876613
"277","2000","Spain","Total petroleum products","Imports",3272903
"278","2000","Spain","Total petroleum products","Exports",314788
"279","2000","Spain","Total petroleum products","Gross inland consumption",2678154
"280","2000","Spain","Gas","Imports",647564
"281","2000","Spain","Gas","Exports",0
"282","2000","Spain","Gas","Gross inland consumption",640777
"283","2000","Spain","Nuclear heat","Imports",NA
"284","2000","Spain","Nuclear heat","Exports",NA
"285","2000","Spain","Nuclear heat","Gross inland consumption",671825
"286","2000","Spain","Derived heat","Imports",0
"287","2000","Spain","Derived heat","Exports",0
"288","2000","Spain","Derived heat","Gross inland consumption",0
"289","2000","Spain","Renewable energies","Imports",0
"290","2000","Spain","Renewable energies","Exports",0
"291","2000","Spain","Renewable energies","Gross inland consumption",285333
"292","2000","Spain","Electrical energy","Imports",44165
"293","2000","Spain","Electrical energy","Exports",28177
"294","2000","Spain","Electrical energy","Gross inland consumption",15988
"295","2000","Spain","Waste (non-renewable)","Imports",0
"296","2000","Spain","Waste (non-renewable)","Exports",0
"297","2000","Spain","Waste (non-renewable)","Gross inland consumption",7936
"298","2000","France","All products","Imports",6884031
"299","2000","France","All products","Exports",1270294
"300","2000","France","All products","Gross inland consumption",10782698
"301","2000","France","Solid fuels","Imports",567420
"302","2000","France","Solid fuels","Exports",22929
"303","2000","France","Solid fuels","Gross inland consumption",630018
"304","2000","France","Total petroleum products","Imports",4776515
"305","2000","France","Total petroleum products","Exports",955427
"306","2000","France","Total petroleum products","Gross inland consumption",3723606
"307","2000","France","Gas","Imports",1526486
"308","2000","France","Gas","Exports",28512
"309","2000","France","Gas","Gross inland consumption",1497469
"310","2000","France","Nuclear heat","Imports",NA
"311","2000","France","Nuclear heat","Exports",NA
"312","2000","France","Nuclear heat","Gross inland consumption",4483750
"313","2000","France","Derived heat","Imports",0
"314","2000","France","Derived heat","Exports",0
"315","2000","France","Derived heat","Gross inland consumption",0
"316","2000","France","Renewable energies","Imports",309
"317","2000","France","Renewable energies","Exports",0
"318","2000","France","Renewable energies","Gross inland consumption",659104
"319","2000","France","Electrical energy","Imports",13302
"320","2000","France","Electrical energy","Exports",263426
"321","2000","France","Electrical energy","Gross inland consumption",-250124
"322","2000","France","Waste (non-renewable)","Imports",0
"323","2000","France","Waste (non-renewable)","Exports",0
"324","2000","France","Waste (non-renewable)","Gross inland consumption",38877
"325","2000","Croatia","All products","Imports",249038
"326","2000","Croatia","All products","Exports",78061
"327","2000","Croatia","All products","Gross inland consumption",352612
"328","2000","Croatia","Solid fuels","Imports",20030
"329","2000","Croatia","Solid fuels","Exports",0
"330","2000","Croatia","Solid fuels","Gross inland consumption",18052
"331","2000","Croatia","Total petroleum products","Imports",175325
"332","2000","Croatia","Total petroleum products","Exports",74587
"333","2000","Croatia","Total petroleum products","Gross inland consumption",164489
"334","2000","Croatia","Gas","Imports",37894
"335","2000","Croatia","Gas","Exports",0
"336","2000","Croatia","Gas","Gross inland consumption",92504
"337","2000","Croatia","Nuclear heat","Imports",NA
"338","2000","Croatia","Nuclear heat","Exports",NA
"339","2000","Croatia","Nuclear heat","Gross inland consumption",0
"340","2000","Croatia","Derived heat","Imports",0
"341","2000","Croatia","Derived heat","Exports",0
"342","2000","Croatia","Derived heat","Gross inland consumption",0
"343","2000","Croatia","Renewable energies","Imports",0
"344","2000","Croatia","Renewable energies","Exports",0
"345","2000","Croatia","Renewable energies","Gross inland consumption",65196
"346","2000","Croatia","Electrical energy","Imports",15790
"347","2000","Croatia","Electrical energy","Exports",3474
"348","2000","Croatia","Electrical energy","Gross inland consumption",12316
"349","2000","Croatia","Waste (non-renewable)","Imports",0
"350","2000","Croatia","Waste (non-renewable)","Exports",0
"351","2000","Croatia","Waste (non-renewable)","Gross inland consumption",56
"352","2000","Italy","All products","Imports",7285268
"353","2000","Italy","All products","Exports",918458
"354","2000","Italy","All products","Gross inland consumption",7294210
"355","2000","Italy","Solid fuels","Imports",553402
"356","2000","Italy","Solid fuels","Exports",3559
"357","2000","Italy","Solid fuels","Gross inland consumption",525460
"358","2000","Italy","Total petroleum products","Imports",4578952
"359","2000","Italy","Total petroleum products","Exports",911366
"360","2000","Italy","Total petroleum products","Gross inland consumption",3748849
"361","2000","Italy","Gas","Imports",1969858
"362","2000","Italy","Gas","Exports",1716
"363","2000","Italy","Gas","Gross inland consumption",2426026
"364","2000","Italy","Nuclear heat","Imports",NA
"365","2000","Italy","Nuclear heat","Exports",NA
"366","2000","Italy","Nuclear heat","Gross inland consumption",0
"367","2000","Italy","Derived heat","Imports",0
"368","2000","Italy","Derived heat","Exports",0
"369","2000","Italy","Derived heat","Gross inland consumption",0
"370","2000","Italy","Renewable energies","Imports",21664
"371","2000","Italy","Renewable energies","Exports",75
"372","2000","Italy","Renewable energies","Gross inland consumption",423402
"373","2000","Italy","Electrical energy","Imports",161392
"374","2000","Italy","Electrical energy","Exports",1742
"375","2000","Italy","Electrical energy","Gross inland consumption",159649
"376","2000","Italy","Waste (non-renewable)","Imports",0
"377","2000","Italy","Waste (non-renewable)","Exports",0
"378","2000","Italy","Waste (non-renewable)","Gross inland consumption",10824
"379","2000","Cyprus","All products","Imports",107405
"380","2000","Cyprus","All products","Exports",0
"381","2000","Cyprus","All products","Gross inland consumption",101012
"382","2000","Cyprus","Solid fuels","Imports",1382
"383","2000","Cyprus","Solid fuels","Exports",NA
"384","2000","Cyprus","Solid fuels","Gross inland consumption",1384
"385","2000","Cyprus","Total petroleum products","Imports",105963
"386","2000","Cyprus","Total petroleum products","Exports",0
"387","2000","Cyprus","Total petroleum products","Gross inland consumption",97716
"388","2000","Cyprus","Gas","Imports",NA
"389","2000","Cyprus","Gas","Exports",NA
"390","2000","Cyprus","Gas","Gross inland consumption",NA
"391","2000","Cyprus","Nuclear heat","Imports",NA
"392","2000","Cyprus","Nuclear heat","Exports",NA
"393","2000","Cyprus","Nuclear heat","Gross inland consumption",0
"394","2000","Cyprus","Derived heat","Imports",0
"395","2000","Cyprus","Derived heat","Exports",0
"396","2000","Cyprus","Derived heat","Gross inland consumption",0
"397","2000","Cyprus","Renewable energies","Imports",60
"398","2000","Cyprus","Renewable energies","Exports",NA
"399","2000","Cyprus","Renewable energies","Gross inland consumption",1913
"400","2000","Cyprus","Electrical energy","Imports",0
"401","2000","Cyprus","Electrical energy","Exports",0
"402","2000","Cyprus","Electrical energy","Gross inland consumption",0
"403","2000","Cyprus","Waste (non-renewable)","Imports",NA
"404","2000","Cyprus","Waste (non-renewable)","Exports",NA
"405","2000","Cyprus","Waste (non-renewable)","Gross inland consumption",NA
"406","2000","Latvia","All products","Imports",113318
"407","2000","Latvia","All products","Exports",14465
"408","2000","Latvia","All products","Gross inland consumption",161768
"409","2000","Latvia","Solid fuels","Imports",2590
"410","2000","Latvia","Solid fuels","Exports",40
"411","2000","Latvia","Solid fuels","Gross inland consumption",5526
"412","2000","Latvia","Total petroleum products","Imports",56523
"413","2000","Latvia","Total petroleum products","Exports",4809
"414","2000","Latvia","Total petroleum products","Gross inland consumption",54217
"415","2000","Latvia","Gas","Imports",46611
"416","2000","Latvia","Gas","Exports",0
"417","2000","Latvia","Gas","Gross inland consumption",45736
"418","2000","Latvia","Nuclear heat","Imports",NA
"419","2000","Latvia","Nuclear heat","Exports",NA
"420","2000","Latvia","Nuclear heat","Gross inland consumption",0
"421","2000","Latvia","Derived heat","Imports",0
"422","2000","Latvia","Derived heat","Exports",0
"423","2000","Latvia","Derived heat","Gross inland consumption",0
"424","2000","Latvia","Renewable energies","Imports",5
"425","2000","Latvia","Renewable energies","Exports",8456
"426","2000","Latvia","Renewable energies","Gross inland consumption",49859
"427","2000","Latvia","Electrical energy","Imports",7589
"428","2000","Latvia","Electrical energy","Exports",1159
"429","2000","Latvia","Electrical energy","Gross inland consumption",6430
"430","2000","Latvia","Waste (non-renewable)","Imports",0
"431","2000","Latvia","Waste (non-renewable)","Exports",0
"432","2000","Latvia","Waste (non-renewable)","Gross inland consumption",0
"433","2000","Lithuania","All products","Imports",334734
"434","2000","Lithuania","All products","Exports",156919
"435","2000","Lithuania","All products","Gross inland consumption",295715
"436","2000","Lithuania","Solid fuels","Imports",3420
"437","2000","Lithuania","Solid fuels","Exports",70
"438","2000","Lithuania","Solid fuels","Gross inland consumption",3832
"439","2000","Lithuania","Total petroleum products","Imports",226332
"440","2000","Lithuania","Total petroleum products","Exports",133244
"441","2000","Lithuania","Total petroleum products","Gross inland consumption",88958
"442","2000","Lithuania","Gas","Imports",86438
"443","2000","Lithuania","Gas","Exports",0
"444","2000","Lithuania","Gas","Gross inland consumption",86404
