"","TIME","GEO","PRODUCT","Proizvodnja/zaloga"
"620","2002","Cyprus","Total petroleum products",-7789
"621","2002","Cyprus","Waste (non-renewable)",NA
"622","2002","Czech Republic","All products",983101
"623","2002","Czech Republic","Derived heat",-143
"624","2002","Czech Republic","Electrical energy",-75200
"625","2002","Czech Republic","Gas",-6538
"626","2002","Czech Republic","Nuclear heat",NA
"627","2002","Czech Republic","Renewable energies",81864
"628","2002","Czech Republic","Solid fuels",811841
"629","2002","Czech Republic","Total petroleum products",-35474
"630","2002","Czech Republic","Waste (non-renewable)",4381
"631","2002","Denmark","All products",282114
"632","2002","Denmark","Derived heat",0
"633","2002","Denmark","Electrical energy",-39636
"634","2002","Denmark","Gas",194361
"635","2002","Denmark","Nuclear heat",NA
"636","2002","Denmark","Renewable energies",81749
"637","2002","Denmark","Solid fuels",16148
"638","2002","Denmark","Total petroleum products",14249
"639","2002","Denmark","Waste (non-renewable)",15243
"640","2002","Estonia","All products",130217
"641","2002","Estonia","Derived heat",0
"642","2002","Estonia","Electrical energy",-3967
"643","2002","Estonia","Gas",0
"644","2002","Estonia","Nuclear heat",NA
"645","2002","Estonia","Renewable energies",22950
"646","2002","Estonia","Solid fuels",111354
"647","2002","Estonia","Total petroleum products",-120
"648","2002","Estonia","Waste (non-renewable)",0
"649","2002","Euro area (19 countries)","All products",7421108
"650","2002","Euro area (19 countries)","Derived heat",-152
