"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"2000","Ireland","Terajoule","Electrical energy","Imports","608"
"2000","Ireland","Terajoule","Electrical energy","Exports","256"
"2000","Ireland","Terajoule","Electrical energy","Gross inland consumption","353"
"2000","Ireland","Terajoule","Industrial wastes","Imports","0"
"2000","Ireland","Terajoule","Industrial wastes","Exports","0"
"2000","Ireland","Terajoule","Industrial wastes","Gross inland consumption","0"
"2000","Ireland","Terajoule","Waste (non-renewable)","Imports","0"
"2000","Ireland","Terajoule","Waste (non-renewable)","Exports","0"
"2000","Ireland","Terajoule","Waste (non-renewable)","Gross inland consumption","0"
"2000","Greece","Terajoule","All products","Imports","1 107 464"
"2000","Greece","Terajoule","All products","Exports","180 031"
"2000","Greece","Terajoule","All products","Gross inland consumption","1 184 540"
"2000","Greece","Terajoule","Solid fuels","Imports","33 895"
"2000","Greece","Terajoule","Solid fuels","Exports","1 718"
"2000","Greece","Terajoule","Solid fuels","Gross inland consumption","378 393"
"2000","Greece","Terajoule","Total petroleum products","Imports","996 648"
"2000","Greece","Terajoule","Total petroleum products","Exports","172 049"
"2000","Greece","Terajoule","Total petroleum products","Gross inland consumption","673 437"
"2000","Greece","Terajoule","Gas","Imports","70 696"
"2000","Greece","Terajoule","Gas","Exports","0"
"2000","Greece","Terajoule","Gas","Gross inland consumption","71 366"
"2000","Greece","Terajoule","Nuclear heat","Imports",":"
"2000","Greece","Terajoule","Nuclear heat","Exports",":"
"2000","Greece","Terajoule","Nuclear heat","Gross inland consumption","0"
"2000","Greece","Terajoule","Derived heat","Imports","0"
"2000","Greece","Terajoule","Derived heat","Exports","0"
"2000","Greece","Terajoule","Derived heat","Gross inland consumption","0"
"2000","Greece","Terajoule","Renewable energies","Imports","0"
"2000","Greece","Terajoule","Renewable energies","Exports","0"
"2000","Greece","Terajoule","Renewable energies","Gross inland consumption","58 722"
"2000","Greece","Terajoule","Electrical energy","Imports","6 224"
"2000","Greece","Terajoule","Electrical energy","Exports","6 264"
"2000","Greece","Terajoule","Electrical energy","Gross inland consumption","-40"
"2000","Greece","Terajoule","Industrial wastes","Imports","0"
"2000","Greece","Terajoule","Industrial wastes","Exports","0"
"2000","Greece","Terajoule","Industrial wastes","Gross inland consumption","2 662"
"2000","Greece","Terajoule","Waste (non-renewable)","Imports","0"
"2000","Greece","Terajoule","Waste (non-renewable)","Exports","0"
"2000","Greece","Terajoule","Waste (non-renewable)","Gross inland consumption","2 662"
"2000","Spain","Terajoule","All products","Imports","4 523 419"
"2000","Spain","Terajoule","All products","Exports","364 169"
"2000","Spain","Terajoule","All products","Gross inland consumption","5 176 626"
"2000","Spain","Terajoule","Solid fuels","Imports","558 787"
"2000","Spain","Terajoule","Solid fuels","Exports","21 204"
"2000","Spain","Terajoule","Solid fuels","Gross inland consumption","876 613"
"2000","Spain","Terajoule","Total petroleum products","Imports","3 272 903"
"2000","Spain","Terajoule","Total petroleum products","Exports","314 788"
"2000","Spain","Terajoule","Total petroleum products","Gross inland consumption","2 678 154"
"2000","Spain","Terajoule","Gas","Imports","647 564"
"2000","Spain","Terajoule","Gas","Exports","0"
"2000","Spain","Terajoule","Gas","Gross inland consumption","640 777"
"2000","Spain","Terajoule","Nuclear heat","Imports",":"
"2000","Spain","Terajoule","Nuclear heat","Exports",":"
"2000","Spain","Terajoule","Nuclear heat","Gross inland consumption","671 825"
"2000","Spain","Terajoule","Derived heat","Imports","0"
"2000","Spain","Terajoule","Derived heat","Exports","0"
"2000","Spain","Terajoule","Derived heat","Gross inland consumption","0"
"2000","Spain","Terajoule","Renewable energies","Imports","0"
"2000","Spain","Terajoule","Renewable energies","Exports","0"
"2000","Spain","Terajoule","Renewable energies","Gross inland consumption","285 333"
"2000","Spain","Terajoule","Electrical energy","Imports","44 165"
"2000","Spain","Terajoule","Electrical energy","Exports","28 177"
"2000","Spain","Terajoule","Electrical energy","Gross inland consumption","15 988"
"2000","Spain","Terajoule","Industrial wastes","Imports","0"
"2000","Spain","Terajoule","Industrial wastes","Exports","0"
"2000","Spain","Terajoule","Industrial wastes","Gross inland consumption","3 134"
"2000","Spain","Terajoule","Waste (non-renewable)","Imports","0"
"2000","Spain","Terajoule","Waste (non-renewable)","Exports","0"
"2000","Spain","Terajoule","Waste (non-renewable)","Gross inland consumption","7 936"
"2000","France","Terajoule","All products","Imports","6 884 031"
"2000","France","Terajoule","All products","Exports","1 270 294"
"2000","France","Terajoule","All products","Gross inland consumption","10 782 698"
"2000","France","Terajoule","Solid fuels","Imports","567 420"
"2000","France","Terajoule","Solid fuels","Exports","22 929"
